date,result,opponent,sets_played,receiving,receiving_err,recieving_per_set
08/29,W 3-2,Maret,5,24,2,4.8
09/03,W 3-0,DC International,3,12,3,4
09/05,L 0-3,Covenant Life,3,12,3,4
09/07,L 0-2,Bishop Ireton,2,7,1,3.5
09/07,W 2-1,Highland,3,20,0,6.7
09/07,L 1-2,Episcopal,3,13,1,4.3
09/10,W 3-0,Spencerville Adventist Academy,3,16,0,5.3
09/12,L 0-3,Bishop Ireton,3,15,4,5
09/14,W 2-0,Shalom Christian Academy,2,11,1,5.5
09/14,T 1-1,Maryland School for the Deaf,2,13,0,6.5
09/14,L 0-2,St. John's Catholic Prep,2,8,4,4
09/14,W 2-1,Maryland School for the Deaf,3,15,2,5
09/14,W 2-0,Varsity Opponent,2,5,1,2.5
09/17,W 3-1,Washington Christian Academy,4,15,2,3.8
09/19,W 3-0,Varsity Opponent,3,4,0,1.3
09/21,L 1-2,DC International,3,17,0,5.7
09/21,W 2-0,School Without Walls,2,1,0,0.5
09/21,W 2-0,King Abdullah Academy,2,3,0,1.5
09/21,W 2-0,Bullis,2,5,0,2.5
09/21,L 0-2,Bullis,2,12,0,6
09/24,W 3-0,Field,3,14,0,4.7
09/25,W 3-0,Varsity Opponent,3,16,3,5.3
09/27,L 1-3,Georgetown Day,4,30,4,7.5
09/30,W 3-0,Sandy Spring Friends,3,2,0,0.7
10/04,W 2-0,Indiana School for the Deaf,2,9,1,4.5
10/04,W 2-0,California School for the Deaf,2,6,0,3
10/04,L 0-2,Texas School for the Deaf,2,16,0,8
10/04,W 2-1,California School for the Deaf-Riverside,3,12,0,4
10/05,W 2-0,Indiana School for the Deaf,2,10,2,5
10/05,L 0-2,Texas School for the Deaf,2,15,2,7.5
10/08,W 3-0,Oakcrest,3,24,2,8
10/10,W 3-0,Varsity Opponent,3,8,0,2.7
10/12,L 1-2,Roosevelt,2,8,1,4
10/12,W 2-0,Mount Airy Christian Academy,2,10,0,5
10/12,L 0-2,Princess Anne,2,15,1,7.5
10/12,W 2-0,King Abdullah Academy,2,14,1,7
10/12,W 2-0,Mount Airy Christian Academy,2,11,1,5.5
10/15,W 3-0,Washington International,3,16,1,5.3
10/17,W 3-0,Barrie,3,7,0,2.3
10/18,W 3-1,King Abdullah Academy,4,18,2,4.5
10/23,W 3-0,Varsity Opponent,3,10,0,3.3
10/28,W 3-0,Sandy Spring Friends,3,13,0,4.3
10/30,W 3-0,Washington International,3,14,0,4.7
11/05,W 3-0,Bell,3,12,0,4
11/06,L 0-3,St. John's,3,21,1,7