date,result,opponent,sets_played,receiving,receiving_err,receiving_per_set
08/29,W 3-0,Spencerville Adventist Academy,3,7,0,2.3
09/05,L 0-3,Maret,3,20,3,6.7
09/07,W 3-0,Brookewood,3,9,0,3
09/09,W 3-0,Atlanta Area School for the Deaf,3,7,1,2.3
09/09,W 3-0,Alabama School for the Deaf,3,7,1,2.3
09/12,W 3-0,Washington Christian Academy,3,8,1,2.7
09/14,W 3-0,McLean,3,9,0,3
09/16,W 3-0,Friends,3,10,1,3.3
09/19,L 0-3,Bishop O'Connell,3,23,3,7.7
09/21,W 3-0,Grace Christian Academy,3,20,2,6.7
09/23,W 2-1,King Abdullah Academy,3,12,1,4
09/23,L 1-2,Sidwell Friends,3,10,2,3.3
09/23,W 2-0,E.L. Haynes,2,7,0,3.5
09/23,L 0-2,Jackson-Reed,2,14,1,7
09/26,L 1-3,Covenant Life,3,24,6,8
09/28,W 3-0,Smith Jewish Day School,3,8,0,2.7
10/03,L 1-3,Washington International,4,27,3,6.8
10/06,L 0-2,Texas School for the Deaf,2,11,0,5.5
10/06,L 0-2,Maryland School for the Deaf,2,15,1,7.5
10/06,W 2-1,California School for the Deaf-Riverside,3,11,0,3.7
10/06,L 1-2,California School for the Deaf,3,15,3,5
10/07,L 1-2,California School for the Deaf-Riverside,3,13,2,4.3
10/07,L 0-2,Indiana School for the Deaf,2,13,2,6.5
10/07,L 1-2,California School for the Deaf,3,11,3,3.7
10/10,W 3-0,Burke,3,10,1,3.3
10/12,W 3-0,Clinton Grace Christian,1,4,0,4
10/14,W 3-0,Bell,3,5,0,1.7
10/17,W 3-0,Field,3,12,0,4
10/18,L 0-3,Bishop Ireton,3,14,2,4.7
10/20,L 0-3,King Abdullah Academy,3,25,1,8.3
10/23,W 3-0,Washington Christian Academy,3,17,3,5.7
10/25,W 3-0,Burke,3,16,2,5.3
10/30,L 2-3,Washington International,5,36,6,7.2